Method,bin_roc,bin_pr,bin_mcc,fam_acc,fam_acc_se,fam_mcc,fam_mcc_se
ToxFam (emb+tax),0.9929724992127096,0.9585545944172122,0.866739486074218,0.9836384088352592,0.0025484538427219703,0.8549922965408435,0.02188266774758226
EAT (1-NN ProtT5),0.9945273654918902,0.930938799047074,0.8703413962312968,0.9840474486143778,0.0025318404582273892,0.8434900864853954,0.02436551875142649
ToxinPred 3.0,0.9252571514571444,0.5864848247964617,0.5966974487154793,,,,
ToxDL 2.0,0.9909496397019067,0.782602854639179,0.7937553390674118,,,,
HBI (MMseqs2),,,0.8908729978596205,0.9811841701605482,0.0026786067794125263,0.822146903539903,0.025145698168351282
