method,n_scored,coverage,roc_auc,pr_auc,mcc,mcc_at_0.5,f1,precision,recall,bal_acc,accuracy,threshold,threshold_src
ToxFam (emb+tax),8951,1.0,0.9883943868809659,0.9129646958865552,0.7199354853435916,0.7785726537500315,0.7001862197392924,0.5513196480938416,0.9591836734693877,0.970853972657024,0.9820131828845939,0.1618877,youden@val
EAT (1-NN ProtT5),8951,1.0,0.9939553491299432,0.8620837552953045,0.6068384311508276,0.7989227568011987,0.562874251497006,0.3983050847457627,0.9591836734693877,0.9633725334794112,0.9673779465981455,0.4839141368865967,youden@val
ToxinPred 3.0,8951,1.0,0.9150966211727409,0.38824081936449484,0.3447965243917375,0.46392070547443964,0.27580372250423013,0.16531440162271804,0.8316326530612245,0.8688146132239303,0.9043682270137415,0.375,youden@val
ToxDL 2.0,8249,0.9215730086023908,0.9877192090794986,0.551025569285287,0.6260148369336609,0.6260148369336609,0.591337099811676,0.4325068870523416,0.9345238095238095,0.9545159574781528,0.9736937810643714,0.5,default@0.5
