method,roc_auc,pr_auc,mcc,f1,precision,recall,bal_acc,accuracy,mcc_at_0.5,threshold
ToxFam (emb+tax),0.9869903536219587,0.9067919949387738,0.7227371481527352,0.7030567685589519,0.5551724137931034,0.9583333333333334,0.9711849812316957,0.9835131531094679,0.7735674832712571,0.1618877
EAT (1-NN ProtT5),0.9941581074949469,0.8588417824684947,0.63332074988789,0.5934065934065934,0.42857142857142855,0.9642857142857143,0.9687781745540687,0.9730876469875136,0.7924449641567112,0.4839141368865967
ToxinPred 3.0,0.9216802641115845,0.3673231763696959,0.3399149685596693,0.2665406427221172,0.15842696629213482,0.8392857142857143,0.8732995827956229,0.9059279912716693,0.4552265902190685,0.375
ToxDL 2.0,0.9877192090794986,0.551025569285287,0.6260148369336609,0.591337099811676,0.4325068870523416,0.9345238095238095,0.9545159574781528,0.9736937810643714,0.6260148369336609,0.5
