comparison,d_roc_auc,d_roc_lo,d_roc_hi,d_pr_auc,d_pr_lo,d_pr_hi,d_mcc_at_0.5,d_mcc_lo,d_mcc_hi,n_common
ToxFam - EAT (1-NN ProtT5),-0.006963348700431939,-0.02162695015045715,0.002486178316575398,0.04774283944161611,0.01395450115672423,0.08385022462290492,-0.018356782555342434,-0.059810706053616214,0.023347958009341915,8249
ToxFam - ToxinPred 3.0,0.065671639946596,0.04039012105145558,0.0921099816676225,0.5372385370104922,0.46160503956477095,0.6088455160697142,0.31968426996022353,0.27013450178092635,0.37094408876908946,8249
ToxFam - ToxDL 2.0,-0.0007982299392462289,-0.016058591547332975,0.010507294902207951,0.3509035254292762,0.2716686611912686,0.43019427654016373,0.14737829241518483,0.10721142454053621,0.18980510675455572,8249
