method,roc_auc_se,pr_auc_se,mcc_se,mcc_at_0.5_se,f1_se,precision_se,recall_se
ToxFam (emb+tax),0.007585358306436954,0.018059833167205098,0.02076414507041605,0.021303222113008825,0.02474399508589163,0.02699606529880908,0.014179593267898194
EAT (1-NN ProtT5),0.0015425536697168912,0.023664810191097205,0.020544249109452867,0.022945511261495553,0.02488718504428034,0.025312551045473395,0.014530083125873316
ToxinPred 3.0,0.013446747657914473,0.036852771179594956,0.017476238430414633,0.024819438288791303,0.01780527900032146,0.012166089922582229,0.02897948937354888
ToxDL 2.0,0.0018913436938908922,0.03918776779573819,0.021480002021226904,0.021480002021226904,0.025065332498737918,0.02560644991999905,0.01952692193842891
