comparison,d_roc_auc,d_roc_lo,d_roc_hi,d_pr_auc,d_pr_lo,d_pr_hi,d_mcc_at_0.5,d_mcc_lo,d_mcc_hi,n_common
ToxFam - EAT (1-NN ProtT5),-0.007789789651814615,-0.02204626992870395,0.0023539098758335896,0.049925877434392606,0.013133398078417213,0.08969612549892812,-0.015081403510493849,-0.060823871328133605,0.03073587249180957,8216
ToxFam - ToxinPred 3.0,0.06964659619816749,0.04089271102388793,0.10078516561334407,0.5660856253347099,0.49276752367708077,0.630754084744416,0.3407642928842973,0.29108526998347783,0.39086802503742596,8216
ToxFam - ToxDL 2.0,-0.001550707879384362,-0.01932333860614416,0.010784660201312326,0.36829334203688485,0.2847975896879526,0.4522998711061243,0.16473961269835322,0.12269046554838142,0.20579725139427105,8216
