method,roc_auc_se,pr_auc_se,mcc_se,mcc_at_0.5_se,f1_se,precision_se,recall_se
ToxFam (emb+tax),0.007482806103682373,0.019003388833991195,0.022751111236129936,0.02230864007480306,0.026401734224609976,0.031350912796527276,0.015366192287838022
EAT (1-NN ProtT5),0.0016807097777679896,0.025541512238576616,0.021871924713518922,0.02446845601658662,0.02687234884302474,0.027025148748050346,0.01438948361329048
ToxinPred 3.0,0.014573157497256966,0.03585192282163837,0.018249367084518152,0.02576863274761119,0.018389289411697658,0.012380404517761333,0.030989678586958034
ToxDL 2.0,0.0020491864325729472,0.04161517887565869,0.0230972329857115,0.0230972329857115,0.02700115369309584,0.027208429898693286,0.020693323576024172
