method,roc_auc,pr_auc,mcc,f1,precision,recall,bal_acc,accuracy,mcc_at_0.5,threshold
ToxFam (emb+tax),0.9862510349982441,0.9065145150723276,0.7209564761446208,0.6997635933806147,0.550185873605948,0.961038961038961,0.973015139164978,0.9845423563777994,0.779823817641408,0.1618877
EAT (1-NN ProtT5),0.9942547529374618,0.8564316698595535,0.6264573738875894,0.5831702544031311,0.4173669467787115,0.9675324675324676,0.9708662089584938,0.9740749756572541,0.7962400660130039,0.4839141368865967
ToxinPred 3.0,0.9166580752415533,0.3354265355342867,0.325726569558088,0.2512363996043521,0.14819136522753792,0.8246753246753247,0.8670635368104979,0.9078627069133398,0.43948276237325196,0.375
ToxDL 2.0,0.9877318476611456,0.5325450613637572,0.615634731836262,0.5789473684210527,0.42058823529411765,0.9285714285714286,0.9520679023283836,0.9746835443037974,0.615634731836262,0.5
