method,n_scored,coverage,roc_auc,pr_auc,mcc,mcc_at_0.5,f1,precision,recall,bal_acc,accuracy,threshold,threshold_src
ToxFam (emb+tax),8898,1.0,0.9872308926037877,0.9095417195091107,0.7089947666386506,0.7802781752517021,0.6848739495798319,0.5309446254071661,0.9644970414201184,0.9740001531994623,0.983142279163857,0.1618877,youden@val
EAT (1-NN ProtT5),8898,1.0,0.9940445403711088,0.8571998544438837,0.5908225595792943,0.7967018765820174,0.5397350993377483,0.37471264367816093,0.9644970414201184,0.9666682709678207,0.9687570240503484,0.4839141368865967,youden@val
ToxinPred 3.0,8898,1.0,0.9051827513674409,0.3254434417014938,0.3201475068528463,0.4343481117099262,0.24818840579710144,0.146524064171123,0.8106508875739645,0.8596157404990914,0.9067206113733424,0.375,youden@val
ToxDL 2.0,8216,0.9233535625983367,0.9877318476611456,0.5325450613637572,0.615634731836262,0.615634731836262,0.5789473684210527,0.42058823529411765,0.9285714285714286,0.9520679023283836,0.9746835443037974,0.5,default@0.5
