comparison,d_roc_auc,d_roc_lo,d_roc_hi,d_pr_auc,d_pr_lo,d_pr_hi,d_mcc_at_0.5,d_mcc_lo,d_mcc_hi,n_common
ToxFam - EAT (1-NN ProtT5),-0.0018878231086024105,-0.007343009816630231,0.0030625148504474144,0.02805960313009594,0.012367916845816881,0.04638343957552869,0.007721668737783013,-0.014704018949457234,0.03075529044484036,9019
ToxFam - ToxinPred 3.0,0.06715389125453661,0.050527659069962774,0.0843862752356045,0.370960307841809,0.3217074731367822,0.4193204179146236,0.2814123759793411,0.2481213777059664,0.31644691018938764,9019
ToxFam - ToxDL 2.0,0.0016535965415562885,-0.004871063316136357,0.00652072468540913,0.17548989999897785,0.13226918479633493,0.22075598888410358,0.08416896856423793,0.05976790007767997,0.10851661092146508,9019
