method,roc_auc,pr_auc,mcc,f1,precision,recall,bal_acc,accuracy,mcc_at_0.5,threshold
ToxFam (emb+tax),0.9929724992127096,0.9585545944172122,0.8144661594239253,0.8132474701011959,0.6971608832807571,0.9757174392935982,0.9766516218181743,0.977491961414791,0.866739486074218,0.12475747
EAT (1-NN ProtT5),0.9945273654918902,0.9309387990470741,0.7860439982913645,0.7823008849557522,0.6528803545051699,0.9757174392935982,0.9741416988669719,0.9727242488080718,0.8703413962312968,0.4839141368865967
ToxinPred 3.0,0.9252571514571443,0.5864848247964617,0.49684697837826747,0.4759586122945831,0.32857142857142857,0.8631346578366446,0.8849294582669097,0.9045348708282515,0.5966974487154793,0.375
ToxDL 2.0,0.9909496397019069,0.782602854639179,0.7937553390674118,0.7923844061650045,0.6723076923076923,0.9646799116997793,0.9699070816962589,0.9746091584432864,0.7937553390674118,0.5
