method,roc_auc_se,pr_auc_se,mcc_se,mcc_at_0.5_se,f1_se,precision_se,recall_se
ToxFam (emb+tax),0.0026852860324125603,0.006638716317523081,0.011580861589672949,0.011195154198694702,0.012060329636846662,0.01797568869073705,0.007730988038627348
EAT (1-NN ProtT5),0.0014135538935855082,0.01105980698445485,0.012394650404291233,0.012347851843631243,0.01362423155579978,0.018325563450790255,0.007254171529077241
ToxinPred 3.0,0.008758036374804387,0.026988964640317838,0.014560672394400431,0.01767392928679109,0.01592945058767723,0.01418017501667318,0.016429737874170628
ToxDL 2.0,0.0010024966297121907,0.02321019402800076,0.012539991508436816,0.012539991508436816,0.013475524205630132,0.018429729008584587,0.008886215174094212
