method,n_scored,coverage,roc_auc,pr_auc,mcc,mcc_at_0.5,f1,precision,recall,bal_acc,accuracy,threshold,threshold_src
ToxFam (emb+tax),9779,1.0,0.9931952898368462,0.9614091895668735,0.8446734379309832,0.8802325353649921,0.8462837837837838,0.7488789237668162,0.9728155339805825,0.9773404094773379,0.9813886900501074,0.1618877,youden@val
EAT (1-NN ProtT5),9779,1.0,0.994428479802807,0.9316376356642333,0.7645324368122425,0.8683441538747,0.7594553706505295,0.6220570012391574,0.974757281553398,0.9709170691013967,0.9674813375600777,0.4839141368865967,youden@val
ToxinPred 3.0,9779,1.0,0.9188743984439192,0.5946167321006744,0.49975090692613633,0.6029286756596318,0.48253275109170307,0.33561123766135154,0.858252427184466,0.8819003932122675,0.9030575723489109,0.375,youden@val
ToxDL 2.0,9019,0.9222824419674813,0.9909496397019069,0.782602854639179,0.7937553390674118,0.7937553390674118,0.7923844061650045,0.6723076923076923,0.9646799116997793,0.9699070816962589,0.9746091584432864,0.5,default@0.5
